iteration,timestamp,T1_LEVEL,T2_LEVEL,T0_LEVEL,J_CT3_LEVEL,J_CT6_LEVEL,J_CT5_LEVEL,J2a_15_LEVEL,J1_70_LEVEL,J1_40_LEVEL,J1_50_LEVEL,J1_51_LEVEL,J1_60_LEVEL,J1_61_LEVEL,J2c_12_LEVEL,J2c_14_LEVEL,Jb_53_LEVEL,J2c_11_LEVEL,J2c_13_LEVEL,J2a_20_LEVEL,J2a_30_LEVEL,J2a_33_LEVEL,J2a_23_LEVEL,J2a_41_LEVEL,J_CT1_LEVEL,J_CT2_LEVEL,J1_11_LEVEL,J1_30_LEVEL,J2b_21_LEVEL,J2b_40_LEVEL,J2b_30_LEVEL,J2b_31_LEVEL,J2b_50_LEVEL,J2b_41_LEVEL,J2c_10_LEVEL,J_CT4_LEVEL,J2b_10_LEVEL,J1_10_LEVEL,J1_20_LEVEL,J2a_31_LEVEL,J2a_32_LEVEL,J2a_21_LEVEL,J2a_22_LEVEL,J1-CLin_LEVEL,J2a_40_LEVEL,J1-MPA_LEVEL,J1_33_LEVEL,J1_31_LEVEL,RWtank_Top_LEVEL,J1_34_LEVEL,J2a_10_LEVEL,J2a_12_LEVEL,J2a_13_LEVEL,J2a_14_LEVEL,ER2_Top_LEVEL,ER1_Top_LEVEL,J2b_11_LEVEL,J2b_12_LEVEL,J2b_14_LEVEL,J2b_Leak_LEVEL,J2b_15_LEVEL,J2b_20_LEVEL,J2b_51_LEVEL,J2b_52_LEVEL,J2a_11_LEVEL,J1_32_LEVEL,CT1_CV_LEVEL,CT2_CV_LEVEL,CT3_CV_LEVEL,CT4_CV_LEVEL,CT5_CV_LEVEL,CT6_CV_LEVEL,CT1_FV_LEVEL,CT2_FV_LEVEL,CT3_FV_LEVEL,CT4_FV_LEVEL,CT5_FV_LEVEL,CT6_FV_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,V3_FLOW,V3_STATUS,V4_FLOW,V4_STATUS,V5_FLOW,V5_STATUS,V6_FLOW,V6_STATUS,V7_FLOW,V7_STATUS,V8_FLOW,V8_STATUS,V9_FLOW,V9_STATUS,V10_FLOW,V10_STATUS,V11_FLOW,V11_STATUS,V12_FLOW,V12_STATUS,Close_PRAW_from_iteration_500_to_1000,Close_PRAW1_when_T2_<_0.16,Close_PRAW1_when_0.10_<_T2_<_0.16
0,2022-03-10 14:08:30.926735,0.31245074174866505,0.23927096102076684,0.42000710552156706,56.08860519676709,56.08860519676709,56.087500785304464,1.6826988769678313,1.1256802872597031,1.4011741930272998,1.3907097948187264,1.1368422932737583,1.4011741930272998,1.1256802872597031,56.08821205711128,55.88860519676709,55.86874396203607,56.08816719806968,56.0884433093094,0.21242433467093247,0.1678136957549492,1.6189472252642407,1.6187159730661218,1.6181309276071618,56.08739184971701,56.087500785304464,0.9200071055215671,0.7600071055215671,0.5374372723207483,1.8374372723207484,1.8370904160161947,57.59030709521004,56.28983076559726,57.589830765597256,56.08810312152382,56.08739184971701,56.788103121523825,9.2,4.04,0.1678136957549492,1.4389472252642408,0.21242433467093247,1.512450741748665,1.5000071055215671,1.6183968614332762,1.5000071055215671,1.5000071055215671,1.5000071055215671,-0.649992894478433,1.4137314130246754,1.815913497472273,2.0698714193220256,1.724303363951746,1.6922132706658957,-0.5083503079758336,-0.4375651009065151,57.36810312152382,56.66810312152382,56.66810312152382,56.66810312152382,55.95810312152382,1.6181309276071618,57.36955327131335,57.36897521423419,1.815913497472273,1.5000071055215671,56.08739184971701,56.087500785304464,56.08860519676709,56.08739184971701,56.087500785304464,56.08860519676709,56.08739184971701,56.087500785304464,56.08860519676709,56.08739184971701,56.087500785304464,56.08860519676709,0.00024758234478899606,1,0.0,0,0.0,0,0.0001674825645382638,1,0.0,0,0.0001674825645382638,1,0.0,0,0.0,0,0.00026529442535085514,1,0.0001674825645382638,1,-1.771208056185906e-05,1,0.0,0,0.00024758234478899606,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
1,2022-03-10 14:08:31.325544,0.3120256518151805,0.24161844568026902,0.4140651292466313,56.156785177642824,56.156785177642824,56.15575673654582,1.6627319388577946,0.8888991260788517,1.4440651292466313,1.4440651292466313,0.8888991260788517,1.4440651292466313,0.8888991260788517,56.15641907978064,55.95678517764282,55.93691439836816,56.15637730581423,56.15663442528383,0.20945578419337574,0.1601196541506924,1.6213169786426915,1.6211016331395005,1.6205568307653562,56.155655292989366,56.15575673654582,0.9140651292466313,0.7540651292466314,0.5399108917388313,1.8399108917388314,1.8395878946463353,57.65837000725622,56.35792644355042,57.657926443550416,56.15631763622419,56.155655292989366,56.85631763622419,9.2,4.04,0.1601196541506924,1.4413169786426914,0.20945578419337574,1.5120256518151804,1.4940651292466314,1.6208044721264503,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5888991260788516,1.8888991260788517,1.6688991260788517,1.6688991260788517,-0.5068396526083392,-0.4395162498962111,57.43631763622419,56.736317636224186,56.736317636224186,56.736317636224186,56.026317636224185,1.6205568307653562,57.43766803698502,57.43712974387135,1.5888991260788516,1.4940651292466314,56.155655292989366,56.15575673654582,56.156785177642824,56.155655292989366,56.15575673654582,56.156785177642824,56.155655292989366,56.15575673654582,56.156785177642824,56.155655292989366,56.15575673654582,56.156785177642824,0.0,0,0.0,0,0.0,0,0.00016115923786816507,1,0.0,0,0.00016115923786816507,1,0.0,0,0.0,0,0.0002099203892116069,1,0.00016115923786816507,1,-0.0002099203892116069,1,0.0,0,2.524354896707238e-29,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,1,0
2,2022-03-10 14:08:31.626349,0.30698756247410186,0.24278871331251173,0.4140651292466313,56.22153996411997,56.22153996411997,56.22058461715412,1.660276898460463,0.8859002815396864,1.4440651292466313,1.4440651292466313,0.8859002815396864,1.4440651292466313,0.8859002815396864,56.22119988431134,56.02153996411997,56.001660001623684,56.22116107864682,56.22139992531837,0.20464428994128636,0.15965852653064627,1.6225086719190294,1.6223086309119943,1.6218025480642448,56.220490382037916,56.22058461715412,0.9140651292466313,0.7540651292466314,0.5412025187213396,1.8412025187213397,1.8409024775470948,57.72301215706346,56.42260011874506,57.722600118745056,56.22110564919514,56.220490382037916,56.92110564919514,9.2,4.04,0.15965852653064627,1.4425086719190294,0.20464428994128636,1.506987562474102,1.4940651292466314,1.6220325894876793,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5859002815396863,1.8859002815396864,1.6659002815396864,1.6659002815396864,-0.5058053411123824,-0.444418383101004,57.50110564919514,56.80110564919514,56.80110564919514,56.80110564919514,56.091105649195136,1.6218025480642448,57.50236007726131,57.50186004263072,1.5859002815396863,1.4940651292466314,56.220490382037916,56.22058461715412,56.22153996411997,56.220490382037916,56.22058461715412,56.22153996411997,56.220490382037916,56.22058461715412,56.22153996411997,56.220490382037916,56.22058461715412,56.22153996411997,0.0,0,0.0,0,0.0,0,0.00015486905230918205,1,0.0,0,0.00015486905230918205,1,0.0,0,0.0,0,0.00019971347653674135,1,0.00015486905230918205,1,-0.00019971347653674135,1,0.0,0,2.524354896707238e-29,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
3,2022-03-10 14:08:31.962863,0.30219443903722,0.24386497949397312,0.4140651292466313,56.157824418659295,56.157824418659295,56.15679458696928,1.6579257936271155,0.8830350632182915,1.4440651292466313,1.4440651292466313,0.8830350632182915,1.4440651292466313,0.8830350632182915,56.15745782581237,55.95782441865929,55.93795381409222,56.15741599537522,56.15767346247855,0.20006539035930127,0.15919246920141972,1.6235631048403862,1.6233474681742128,1.6228019291735987,56.15669300627507,56.15679458696928,0.9140651292466313,0.7540651292466314,0.5421551167292846,1.8421551167292847,1.8418316829077623,57.65941139114954,56.35896722768306,57.65896722768306,56.15735624511816,56.15669300627507,56.85735624511816,9.2,4.04,0.15919246920141972,1.4435631048403863,0.20006539035930127,1.5021944390372202,1.4940651292466314,1.6230499053677665,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5830350632182915,1.8830350632182915,1.6630350632182915,1.6630350632182915,-0.504857608338487,-0.44908297313031986,57.43735624511816,56.73735624511816,56.73735624511816,56.73735624511816,56.027356245118156,1.6228019291735987,57.438708471727956,57.438169450758394,1.5830350632182915,1.4940651292466314,56.15669300627507,56.15679458696928,56.157824418659295,56.15669300627507,56.15679458696928,56.157824418659295,56.15669300627507,56.15679458696928,56.157824418659295,56.15669300627507,56.15679458696928,56.157824418659295,0.0,0,0.0,0,0.0,0,0.00016127687675712165,1,0.0,0,0.00016127687675712165,1,0.0,0,0.0,0,0.0001896371777802784,1,0.00016127687675712165,1,-0.0001896371777802784,1,0.0,0,5.048709793414476e-29,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
4,2022-03-10 14:08:32.400578,0.2976431467704934,0.24454562671852886,0.4140651292466313,56.072597152388845,56.072597152388845,56.07146812029103,1.6555513028144724,0.8802022944034065,1.4440651292466313,1.4440651292466313,0.8802022944034065,1.4440651292466313,0.8802022944034065,56.072195248984706,55.87259715238884,55.8527390108664,56.072149390131244,56.07243165625197,0.19570505648041836,0.15849829820617822,1.62421467407266,1.6239782668053953,1.6233801792922165,56.071356756682476,56.07146812029103,0.9140651292466313,0.7540651292466314,0.5426710600117866,1.8426710600117866,1.8423164713669322,57.57433699073053,56.27385004227317,57.573850042273165,56.07208388537615,56.071356756682476,56.772083885376155,9.2,4.04,0.15849829820617822,1.44421467407266,0.19570505648041836,1.4976431467704936,1.4940651292466314,1.6236520413735671,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5802022944034064,1.8802022944034065,1.6602022944034065,1.6602022944034065,-0.504291535303562,-0.45351969120741575,57.35208388537615,56.65208388537615,56.65208388537615,56.65208388537615,55.94208388537615,1.6233801792922165,57.35356636200634,57.35297541813367,1.5802022944034064,1.4940651292466314,56.071356756682476,56.07146812029103,56.072597152388845,56.071356756682476,56.07146812029103,56.072597152388845,56.071356756682476,56.07146812029103,56.072597152388845,56.071356756682476,56.07146812029103,56.072597152388845,0.0,0,0.0,0,0.0,0,0.00016948859565047155,1,0.0,0,0.00016948859565047155,1,0.0,0,0.0,0,0.00018025420410145787,1,0.00016948859565047155,1,-0.00018025420410145787,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
5,2022-03-10 14:08:32.737886,0.2933170458720584,0.2448040013213526,0.4140651292466313,56.040112728639826,56.040112728639826,56.03894576284751,1.6531326197604568,0.8773820460302364,1.4440651292466313,1.4440651292466313,0.8773820460302364,1.4440651292466313,0.8773820460302364,56.03969732269745,55.840112728639824,55.820259352903086,56.03964992341136,56.03994167251723,0.1915462828941359,0.15755199128399222,1.624461929417567,1.624217579597783,1.623599397838576,56.0388306583304,56.03894576284751,0.9140651292466313,0.7540651292466314,0.5428664527465639,1.842866452746564,1.8424999506736675,57.541911022022745,56.241407712816724,57.54140771281672,56.039582218180335,56.0388306583304,56.73958221818034,9.2,4.04,0.15755199128399222,1.444461929417567,0.1915462828941359,1.4933170458720584,1.4940651292466314,1.6238803937423196,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5773820460302364,1.8773820460302364,1.6573820460302364,1.6573820460302364,-0.5041335563172875,-0.45774539648930146,57.31958221818034,56.619582218180334,56.619582218180334,56.619582218180334,55.90958221818033,1.623599397838576,57.321114501639094,57.32050370272287,1.5773820460302364,1.4940651292466314,56.0388306583304,56.03894576284751,56.040112728639826,56.0388306583304,56.03894576284751,56.040112728639826,56.0388306583304,56.03894576284751,56.040112728639826,56.0388306583304,56.03894576284751,56.040112728639826,0.0,0,0.0,0,0.0,0,0.00017254036787434668,1,0.0,0,0.00017254036787434668,1,0.0,0,0.0,0,0.00017167626374375465,1,0.00017254036787434668,1,-0.00017167626374375465,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
6,2022-03-10 14:08:33.037344,0.28919681554220844,0.2447832628222184,0.4140651292466313,56.09750718855205,56.09750718855205,56.0964066957344,1.6507180251790878,0.8746083668214171,1.4440651292466313,1.4440651292466313,0.8746083668214171,1.4440651292466313,0.8746083668214171,56.09711544374377,55.89750718855205,55.877645461502546,56.09707074383348,56.09734587545566,0.18757567901262995,0.1564540123494198,1.6244606757131967,1.6242302440013061,1.6236472743291606,56.096298146593746,56.0964066957344,0.9140651292466313,0.7540651292466314,0.5429560803071589,1.842956080307159,1.8426104546897737,57.599203048442135,56.29872840893526,57.59872840893526,56.09700689460311,56.096298146593746,56.797006894603115,9.2,4.04,0.1564540123494198,1.4444606757131968,0.18757567901262995,1.4891968155422086,1.4940651292466314,1.623912264608005,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.574608366821417,1.874608366821417,1.654608366821417,1.654608366821417,-0.5042440699673176,-0.4617758516682555,57.37700689460311,56.67700689460311,56.67700689460311,56.67700689460311,55.96700689460311,1.6236472743291606,57.37845189921881,57.37787589321444,1.574608366821417,1.4940651292466314,56.096298146593746,56.0964066957344,56.09750718855205,56.096298146593746,56.0964066957344,56.09750718855205,56.096298146593746,56.0964066957344,56.09750718855205,56.096298146593746,56.0964066957344,56.09750718855205,0.0,0,0.0,0,0.0,0,0.00016716139231587662,1,0.0,0,0.00016716139231587662,1,0.0,0,0.0,0,0.00016368408049810857,1,0.00016716139231587662,1,-0.00016368408049810857,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
7,2022-03-10 14:08:33.651954,0.2852683976102539,0.24469980733859198,0.4140651292466313,56.12292926837161,56.12292926837161,56.12185823723433,1.6483893437331687,0.8719428954072652,1.4440651292466313,1.4440651292466313,0.8719428954072652,1.4440651292466313,0.8719428954072652,56.12254801049746,55.922929268371604,55.90306383990464,56.12250450699173,56.122772273517825,0.18378759790922183,0.15536020010245322,1.624385856146224,1.6241615931258626,1.6235942299151156,56.12175259353436,56.12185823723433,0.9140651292466313,0.7540651292466314,0.5429215404967778,1.8429215404967778,1.8425851675973681,57.62457972840148,56.32411779567442,57.624117795674415,56.12244236679749,56.12175259353436,56.822442366797496,9.2,4.04,0.15536020010245322,1.4443858561462242,0.18378759790922183,1.485268397610254,1.4940651292466314,1.6238521262887466,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5719428954072652,1.8719428954072652,1.6519428954072652,1.6519428954072652,-0.5044117268462787,-0.46562006820487545,57.402442366797494,56.70244236679749,56.70244236679749,56.70244236679749,55.99244236679749,1.6235942299151156,57.40384868826651,57.403288102925,1.5719428954072652,1.4940651292466314,56.12175259353436,56.12185823723433,56.12292926837161,56.12175259353436,56.12185823723433,56.12292926837161,56.12175259353436,56.12185823723433,56.12292926837161,56.12175259353436,56.12185823723433,56.12292926837161,0.0,0,0.0,0,0.0,0,0.0001647296578701117,1,0.0,0,0.0001647296578701117,1,0.0,0,0.0,0,0.0001558735040136981,1,0.0001647296578701117,1,-0.0001558735040136981,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
8,2022-03-10 14:08:34.011558,0.2815274335139253,0.24448725964603812,0.4140651292466313,56.141009832515614,56.141009832515614,56.13995990549278,1.6461164141561484,0.8693609027361711,1.4440651292466313,1.4440651292466313,0.8693609027361711,1.4440651292466313,0.8693609027361711,56.140636086691714,55.94100983251561,55.92114175263064,56.140593440202046,56.14085593092652,0.18017541744552412,0.1542204757011283,1.6241794945713437,1.62395965033654,1.6234034664156194,56.13985634303553,56.13995990549278,0.9140651292466313,0.7540651292466314,0.5427440322888253,1.8427440322888253,1.8424142873365268,57.64262777152162,56.34217494096801,57.642174940968005,56.140532524234466,56.13985634303553,56.84053252423447,9.2,4.04,0.1542204757011283,1.4441794945713435,0.18017541744552412,1.4815274335139255,1.4940651292466314,1.6236562812510622,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.569360902736171,1.869360902736171,1.649360902736171,1.649360902736171,-0.5047015440469462,-0.46928376279309036,57.42053252423447,56.720532524234464,56.720532524234464,56.720532524234464,56.01053252423446,1.6234034664156194,57.421911136014934,57.421361596865445,1.569360902736171,1.4940651292466314,56.13985634303553,56.13995990549278,56.141009832515614,56.13985634303553,56.13995990549278,56.141009832515614,56.13985634303553,56.13995990549278,56.141009832515614,56.13985634303553,56.13995990549278,56.141009832515614,0.0,0,0.0,0,0.0,0,0.0001629687812024876,1,0.0,0,0.0001629687812024876,1,0.0,0,0.0,0,0.00014840046404091545,1,0.0001629687812024876,1,-0.00014840046404091545,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
9,2022-03-10 14:08:34.287748,0.27796582237694345,0.24413762003416029,0.4140651292466313,56.119486918462414,56.119486918462414,56.118412562557545,1.6438911776213596,0.8668543211471045,1.4440651292466313,1.4440651292466313,0.8668543211471045,1.4440651292466313,0.8668543211471045,56.11910447713126,55.91948691846241,55.89962190770279,56.11906083861038,56.11932943629222,0.17673104038444487,0.1530268128603931,1.6238226942734941,1.623597735112535,1.6230286107033165,56.1183065909765,56.118412562557545,0.9140651292466313,0.7540651292466314,0.5423538330301043,1.8423538330301044,1.842016415956034,57.6211425018931,56.320679135198645,57.62067913519864,56.118998505550216,56.1183065909765,56.81899850555022,9.2,4.04,0.1530268128603931,1.4438226942734942,0.17673104038444487,1.4779658223769436,1.4940651292466314,1.6232873076284164,1.4940651292466314,1.4940651292466314,1.4940651292466314,-0.6559348707533688,1.4440651292466313,1.5668543211471044,1.8668543211471045,1.6468543211471045,1.6468543211471045,-0.5051215234670507,-0.4727750341218455,57.39899850555022,56.698998505550215,56.698998505550215,56.698998505550215,55.988998505550214,1.6230286107033165,57.40040919243578,57.39984686686375,1.5668543211471044,1.4940651292466314,56.1183065909765,56.118412562557545,56.119486918462414,56.1183065909765,56.118412562557545,56.119486918462414,56.1183065909765,56.118412562557545,56.119486918462414,56.1183065909765,56.118412562557545,56.119486918462414,0.0,0,0.0,0,0.0,0,0.00016500560787026072,1,0.0,0,0.00016500560787026072,1,0.0,0,0.0,0,0.00014130749588884186,1,0.00016500560787026072,1,-0.00014130749588884186,1,0.0,0,-4.0389678347315804e-28,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0
