iteration,timestamp,T1_LEVEL,T2_LEVEL,T0_LEVEL,J_CT3_LEVEL,J_CT6_LEVEL,J_CT5_LEVEL,J2a_15_LEVEL,J1_70_LEVEL,J1_40_LEVEL,J1_50_LEVEL,J1_51_LEVEL,J1_60_LEVEL,J1_61_LEVEL,J2c_12_LEVEL,J2c_14_LEVEL,Jb_53_LEVEL,J2c_11_LEVEL,J2c_13_LEVEL,J2a_20_LEVEL,J2a_30_LEVEL,J2a_33_LEVEL,J2a_23_LEVEL,J2a_41_LEVEL,J_CT1_LEVEL,J_CT2_LEVEL,J1_11_LEVEL,J1_30_LEVEL,J2b_21_LEVEL,J2b_40_LEVEL,J2b_30_LEVEL,J2b_31_LEVEL,J2b_50_LEVEL,J2b_41_LEVEL,J2c_10_LEVEL,J_CT4_LEVEL,J2b_10_LEVEL,J1_10_LEVEL,J1_20_LEVEL,J2a_31_LEVEL,J2a_32_LEVEL,J2a_21_LEVEL,J2a_22_LEVEL,J1-CLin_LEVEL,J2a_40_LEVEL,J1-MPA_LEVEL,J1_33_LEVEL,J1_31_LEVEL,RWtank_Top_LEVEL,J1_34_LEVEL,J2a_10_LEVEL,J2a_12_LEVEL,J2a_13_LEVEL,J2a_14_LEVEL,ER2_Top_LEVEL,ER1_Top_LEVEL,J2b_11_LEVEL,J2b_12_LEVEL,J2b_14_LEVEL,J2b_Leak_LEVEL,J2b_15_LEVEL,J2b_20_LEVEL,J2b_51_LEVEL,J2b_52_LEVEL,J2a_11_LEVEL,J1_32_LEVEL,CT1_CV_LEVEL,CT2_CV_LEVEL,CT3_CV_LEVEL,CT4_CV_LEVEL,CT5_CV_LEVEL,CT6_CV_LEVEL,CT1_FV_LEVEL,CT2_FV_LEVEL,CT3_FV_LEVEL,CT4_FV_LEVEL,CT5_FV_LEVEL,CT6_FV_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,V3_FLOW,V3_STATUS,V4_FLOW,V4_STATUS,V5_FLOW,V5_STATUS,V6_FLOW,V6_STATUS,V7_FLOW,V7_STATUS,V8_FLOW,V8_STATUS,V9_FLOW,V9_STATUS,V10_FLOW,V10_STATUS,V11_FLOW,V11_STATUS,V12_FLOW,V12_STATUS
0,2022-03-10 16:39:32.638503,0.357499762708688,0.4558875446423927,0.42139260093976927,56.30522178038489,56.30522178038489,56.30411736892226,1.8140978818214337,1.2361733418373948,1.4044179012658773,1.3943516957202995,1.2469106093994422,1.4044179012658773,1.2361733418373948,56.30482864072908,56.10522178038489,56.08536054565387,56.304783781687476,56.3050598929272,0.26564796390037193,0.3460820994617755,1.8355638088858652,1.8353325566877452,1.8347475112287832,56.30400843333481,56.30411736892226,0.9213926009397693,0.7613926009397693,0.7540538559423668,2.054053855942367,2.053706999637812,57.80692367882784,56.50644734921506,57.806447349215055,56.30471970514162,56.30400843333481,57.004719705141625,9.2,4.04,0.3460820994617755,1.6555638088858653,0.26564796390037193,1.5574997627086882,1.5013926009397693,1.8350134450548985,1.5013926009397693,1.5013926009397693,1.5013926009397693,-0.6486073990602308,1.4164972912669638,1.9267781989111856,2.1824881420684408,1.8416983007423362,1.810829316533716,-0.29492967113784374,-0.3876113517481208,57.58471970514162,56.88471970514162,56.88471970514162,56.88471970514162,56.17471970514162,1.8347475112287832,57.58616985493115,57.58559179785199,1.9267781989111856,1.5013926009397693,56.30400843333481,56.30411736892226,56.30522178038489,56.30400843333481,56.30411736892226,56.30522178038489,56.30400843333481,56.30411736892226,56.30522178038489,56.30400843333481,56.30411736892226,56.30522178038489,0.00024244989806715463,1,0.0,0,0.0,0,0.00016748256453862672,1,0.0,0,0.00016748256453862672,1,0.0,0,0.0,0,-0.00014899336335608005,1,0.00016748256453862672,1,0.0003914432614232347,1,0.0,0,0.00024244989806715463,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
1,2022-03-10 16:39:33.052887,0.36689440098284565,0.4482921223729197,0.41557380338615757,56.36345885433198,56.36345885433198,56.36243041323497,1.777372547175297,1.204619394517061,1.3981638147473818,1.388004332003869,1.2154561576652494,1.3981638147473818,1.204619394517061,56.3630927564698,56.16345885433198,56.143588075057316,56.36305098250339,56.36330810197298,0.2702811560910998,0.29737254717529704,1.827990655335341,1.827775309832149,1.827230507458003,56.362328969678515,56.36243041323497,0.9155738033861576,0.7555738033861576,0.7465845684314754,2.0465845684314754,2.0462615713389782,57.86504368394538,56.56460012023958,57.86460012023958,56.362991312913344,56.362328969678515,57.06299131291335,9.2,4.04,0.34829212237291984,1.6479906553353412,0.2702811560910998,1.5668944009828456,1.4955738033861576,1.8274781488190979,1.4955738033861576,1.4955738033861576,1.4955738033861576,-0.6544261966138425,1.4103551371030614,1.8951371927841347,2.1504367225007917,1.8085275778978651,1.777372547175297,-0.3017078776270803,-0.3810735678455148,57.642991312913345,56.94299131291334,56.94299131291334,56.94299131291334,56.23299131291334,1.827230507458003,57.64434171367418,57.64380342056051,1.8951371927841347,1.4955738033861576,56.362328969678515,56.36243041323497,56.36345885433198,56.362328969678515,56.36243041323497,56.36345885433198,56.362328969678515,56.36243041323497,56.36345885433198,56.362328969678515,56.36243041323497,56.36345885433198,0.00024366069513591235,1,0.0,0,0.0,0,0.00016115923786850573,1,0.0,0,0.000161159237868499,1,0.0,0,0.0,0,0.0,0,0.000161159237868499,1,0.00024366069513591235,1,0.0,0,0.00024366069513591235,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2,2022-03-10 16:39:33.377950,0.3727422576661077,0.444424300664076,0.40972594670289575,56.42317555146942,56.42317555146942,56.42222020450356,1.783103020557004,1.2095516709121066,1.3924985533514427,1.3823781985846748,1.2203466975901596,1.3924985533514427,1.2095516709121066,56.42283547166079,56.22317555146942,56.203295588973134,56.42279666599627,56.42303551266782,0.2761159695724764,0.303103020557004,1.8241442592705928,1.8239442182635572,1.8234381354158067,56.42212596938736,56.42222020450356,0.9097259467028957,0.7497259467028958,0.7428381060728995,2.0428381060728995,2.042538064898654,57.924647744412916,56.624235706094524,57.92423570609452,56.42274123654458,56.42212596938736,57.122741236544584,9.2,4.04,0.34442430066407614,1.6441442592705928,0.2761159695724764,1.5727422576661079,1.4897259467028958,1.8236681768392418,1.4897259467028958,1.4897259467028958,1.4897259467028958,-0.6602740532971043,1.4046429222535395,1.900105988661273,2.1555776788658987,1.8141380603086235,1.783103020557004,-0.305575699335924,-0.37523353703781415,57.70274123654458,57.00274123654458,57.00274123654458,57.00274123654458,56.29274123654458,1.8234381354158067,57.703995664610765,57.70349562998017,1.900105988661273,1.4897259467028958,56.42212596938736,56.42222020450356,56.42317555146942,56.42212596938736,56.42222020450356,56.42317555146942,56.42212596938736,56.42222020450356,56.42317555146942,56.42212596938736,56.42222020450356,56.42317555146942,0.00024315352531800613,1,0.0,0,0.0,0,0.0001548690523093932,1,0.0,0,0.00015486905230940694,1,0.0,0,0.0,0,0.0,0,0.00015486905230940694,1,0.00024315352531800613,1,0.0,0,0.00024315352531800613,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
3,2022-03-10 16:39:33.749597,0.37857794227373986,0.4407074434086504,0.4038902620952636,56.354666882570704,56.354666882570704,56.353637050880685,1.7888217530540007,1.2144751385026789,1.3868447932915304,1.3767634227708025,1.2252285820232753,1.3868447932915304,1.2144751385026789,56.35430028972378,56.1546668825707,56.13479627800363,56.354258459286626,56.35451592638995,0.2819386588894919,0.3088217530540007,1.8204055687550624,1.8201899320888881,1.8196443930882722,56.35353547018647,56.353637050880685,0.9038902620952636,0.7438902620952637,0.7389975806439557,2.0389975806439558,2.0386741468224323,57.856253855060956,56.555809691594476,57.85580969159447,56.35419870902957,56.35353547018647,57.05419870902957,9.2,4.04,0.34070744340865056,1.6404055687550625,0.2819386588894919,1.57857794227374,1.4838902620952636,1.8198923692824407,1.4838902620952636,1.4838902620952636,1.4838902620952636,-0.6661097379047365,1.3989423812166648,1.9050658415852093,2.160709059867668,1.819737242605996,1.7888217530540007,-0.3092925565913496,-0.36940564955906896,57.63419870902957,56.934198709029566,56.934198709029566,56.934198709029566,56.224198709029565,1.8196443930882722,57.635550935639365,57.6350119146698,1.9050658415852093,1.4838902620952636,56.35353547018647,56.353637050880685,56.354666882570704,56.35353547018647,56.353637050880685,56.354666882570704,56.35353547018647,56.353637050880685,56.354666882570704,56.35353547018647,56.353637050880685,56.354666882570704,0.00024264732063788522,1,0.0,0,0.0,0,0.00016127687675744068,1,0.0,0,0.00016127687675744062,1,0.0,0,0.0,0,0.0,0,0.00016127687675744062,1,0.00024264732063788522,1,0.0,0,0.00024264732063788522,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
4,2022-03-10 16:39:34.222889,0.3844014779690492,0.43683679836647205,0.3980667263999542,56.264888324033656,56.264888324033656,56.26375929193583,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.26448642062951,56.06488832403365,56.04503018251122,56.26444056177605,56.264722827896776,0.28440147796904935,0.28440147796904935,1.816505845720602,1.8162694384533367,1.8156713509401559,56.263647928327266,56.26375929193583,0.8980667263999542,0.7380667263999543,0.7349622316597235,2.0349622316597236,2.0346076430148683,57.76662816237535,56.466141213917986,57.76614121391798,56.26437505702095,56.263647928327266,56.96437505702095,9.2,4.04,0.3368367983664722,1.636505845720602,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.8159432130215072,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.31316320163352795,-0.3655985220309508,57.54437505702095,56.84437505702095,56.84437505702095,56.84437505702095,56.13437505702095,1.8156713509401559,57.54585753365116,57.545266589778485,1.6844014779690493,1.4780667263999543,56.263647928327266,56.26375929193583,56.264888324033656,56.263647928327266,56.26375929193583,56.264888324033656,56.263647928327266,56.26375929193583,56.264888324033656,56.263647928327266,56.26375929193583,56.264888324033656,0.0,0,0.0,0,0.0,0,0.00016948859565076466,1,0.0,0,0.0001694885956507647,1,0.0,0,0.0,0,0.0,0,0.00016948859565076466,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
5,2022-03-10 16:39:34.498185,0.3844014779690492,0.4327690720708537,0.3980667263999542,56.228077799386476,56.228077799386476,56.226910833594154,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.2276623934441,56.02807779938647,56.008224423649736,56.22761499415801,56.22790674326388,0.28440147796904935,0.28440147796904935,1.8124270001670675,1.8121826503472824,1.8115644685880736,56.22679572907704,56.226910833594154,0.8980667263999542,0.7380667263999543,0.7308315234960594,2.0308315234960594,2.030465021423162,57.7298760927694,56.42937278356338,57.72937278356338,56.227547288926985,56.22679572907704,56.92754728892699,9.2,4.04,0.3327690720708538,1.6324270001670675,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.811845464491818,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.3172309279291463,-0.3655985220309508,57.507547288926986,56.80754728892698,56.80754728892698,56.80754728892698,56.09754728892698,1.8115644685880736,57.50907957238575,57.50846877346952,1.6844014779690493,1.4780667263999543,56.22679572907704,56.226910833594154,56.228077799386476,56.22679572907704,56.226910833594154,56.228077799386476,56.22679572907704,56.226910833594154,56.228077799386476,56.22679572907704,56.226910833594154,56.228077799386476,0.0,0,0.0,0,0.0,0,0.0001725403678746098,1,0.0,0,0.0001725403678746098,1,0.0,0,0.0,0,0.0,0,0.00017254036787460981,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
6,2022-03-10 16:39:34.746927,0.3844014779690492,0.4286281032418633,0.3980667263999542,56.281352028969124,56.281352028969124,56.28025153615147,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.28096028416084,56.08135202896912,56.06149030191961,56.28091558425055,56.28119071587273,0.28440147796904935,0.28440147796904935,1.808305516132841,1.8080750844209497,1.8074921147488021,56.28014298701082,56.28025153615147,0.8980667263999542,0.7380667263999543,0.7268009207267989,2.026800920726799,2.026455295109413,57.783047888859215,56.482573249352335,57.78257324935233,56.280851735020185,56.28014298701082,56.98085173502019,9.2,4.04,0.3286281032418634,1.628305516132841,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.8077571050276477,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.3213718967581367,-0.3655985220309508,57.56085173502019,56.860851735020184,56.860851735020184,56.860851735020184,56.15085173502018,1.8074921147488021,57.56229673963588,57.5617207336315,1.6844014779690493,1.4780667263999543,56.28014298701082,56.28025153615147,56.281352028969124,56.28014298701082,56.28025153615147,56.281352028969124,56.28014298701082,56.28025153615147,56.281352028969124,56.28014298701082,56.28025153615147,56.281352028969124,0.0,0,0.0,0,0.0,0,0.0001671613923161205,1,0.0,0,0.0001671613923161205,1,0.0,0,0.0,0,0.0,0,0.0001671613923161205,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
7,2022-03-10 16:39:35.090774,0.3844014779690492,0.42461622982627656,0.3980667263999542,56.3028456908575,56.3028456908575,56.30177465972022,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.30246443298336,56.1028456908575,56.082980262390535,56.302420929477634,56.30268869600372,0.28440147796904935,0.28440147796904935,1.804302278633908,1.8040780156135459,1.8035106524027975,56.30166901602026,56.30177465972022,0.8980667263999542,0.7380667263999543,0.7228379629844583,2.0228379629844584,2.022501590085048,57.80449615088738,56.504034218160314,57.80403421816031,56.302358789283396,56.30166901602026,57.0023587892834,9.2,4.04,0.3246162298262767,1.624302278633908,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.8037685487764288,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.32538377017372344,-0.3655985220309508,57.5823587892834,56.882358789283394,56.882358789283394,56.882358789283394,56.17235878928339,1.8035106524027975,57.5837651107524,57.58320452541089,1.6844014779690493,1.4780667263999543,56.30166901602026,56.30177465972022,56.3028456908575,56.30166901602026,56.30177465972022,56.3028456908575,56.30166901602026,56.30177465972022,56.3028456908575,56.30166901602026,56.30177465972022,56.3028456908575,0.0,0,0.0,0,0.0,0,0.0001647296578702828,1,0.0,0,0.0001647296578702828,1,0.0,0,0.0,0,0.0,0,0.0001647296578702828,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
8,2022-03-10 16:39:35.343675,0.3844014779690492,0.4206627180373901,0.3980667263999542,56.317185290903744,56.317185290903744,56.31613536388092,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.31681154507985,56.11718529090374,56.097317211018776,56.316768898590176,56.31703138931466,0.28440147796904935,0.28440147796904935,1.8003549529626948,1.8001351087278905,1.799578924806968,56.31603180142366,56.31613536388092,0.8980667263999542,0.7380667263999543,0.7189194906801715,2.0189194906801715,2.018589745727872,57.81880322990976,56.51835039935615,57.81835039935615,56.3167079826226,56.31603180142366,57.016707982622606,9.2,4.04,0.3206627180373902,1.6203549529626948,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.7998317396424117,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.3293372819626099,-0.3655985220309508,57.596707982622604,56.8967079826226,56.8967079826226,56.8967079826226,56.1867079826226,1.799578924806968,57.59808659440307,57.59753705525358,1.6844014779690493,1.4780667263999543,56.31603180142366,56.31613536388092,56.317185290903744,56.31603180142366,56.31613536388092,56.317185290903744,56.31603180142366,56.31613536388092,56.317185290903744,56.31603180142366,56.31613536388092,56.317185290903744,0.0,0,0.0,0,0.0,0,0.00016296878120279867,1,0.0,0,0.00016296878120280217,1,0.0,0,0.0,0,0.0,0,0.0001629687812028022,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
9,2022-03-10 16:39:35.751591,0.3844014779690492,0.41675146728852264,0.3980667263999542,56.29210076571218,56.29210076571218,56.29102640980731,1.7644014779690493,0.9844014779690493,1.4280667263999542,1.4280667263999542,0.9844014779690493,1.4280667263999542,0.9844014779690493,56.29171832438102,56.092100765712175,56.07223575495255,56.291674685860144,56.29194328354198,0.28440147796904935,0.28440147796904935,1.7964365415278551,1.7962115823668945,1.7956424579576729,56.29092043822626,56.29102640980731,0.8980667263999542,0.7380667263999543,0.7149676802844576,2.0149676802844576,2.0146302632103854,57.79375634914287,56.493292982448416,57.79329298244841,56.29161235279997,56.29092043822626,56.991612352799976,9.2,4.04,0.31675146728852277,1.6164365415278552,0.28440147796904935,1.5844014779690494,1.4780667263999543,1.7959011548827741,1.4780667263999543,1.4780667263999543,1.4780667263999543,-0.6719332736000458,1.4280667263999542,1.6844014779690493,1.9844014779690493,1.7644014779690493,1.7644014779690493,-0.33324853271147736,-0.3655985220309508,57.571612352799974,56.87161235279997,56.87161235279997,56.87161235279997,56.16161235279997,1.7956424579576729,57.57302303968555,57.57246071411351,1.6844014779690493,1.4780667263999543,56.29092043822626,56.29102640980731,56.29210076571218,56.29092043822626,56.29102640980731,56.29210076571218,56.29092043822626,56.29102640980731,56.29210076571218,56.29092043822626,56.29102640980731,56.29210076571218,0.0,0,0.0,0,0.0,0,0.00016500560787070098,1,0.0,0,0.00016500560787070657,1,0.0,0,0.0,0,0.0,0,0.0001650056078707066,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
