iteration,timestamp,T0,P_RAW1,V_PUB,T2,V_ER2i
0,2022-03-08 13:31:57.375282,0,0,0,0,0
1,2022-03-08 13:31:57.866972,0,0,0,0.0,1.0
2,2022-03-08 13:31:58.298155,0.4200071096420288,1.0,0.0,0.0,1.0
3,2022-03-08 13:31:58.498985,0.4200071096420288,1.0,0.0,0.0,1.0
4,2022-03-08 13:31:58.904642,0.4200071096420288,1.0,0.0,0.0,1.0
5,2022-03-08 13:31:59.258104,0.4200071096420288,1.0,0.0,0.0,1.0
6,2022-03-08 13:31:59.543155,0.4200071096420288,1.0,0.0,0.0,1.0
7,2022-03-08 13:31:59.925141,0.4200071096420288,1.0,0.0,0.0,1.0
8,2022-03-08 13:32:00.417019,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
9,2022-03-08 13:32:00.774060,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
10,2022-03-08 13:32:01.302922,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
11,2022-03-08 13:32:01.525862,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
12,2022-03-08 13:32:01.933845,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
13,2022-03-08 13:32:02.492374,0.37854039669036865,1.0,0.0,0.25197216868400574,1.0
14,2022-03-08 13:32:02.790719,0.37854039669036865,1.0,0.0,0.26149070262908936,1.0
15,2022-03-08 13:32:03.065469,0.3432469964027405,1.0,0.0,0.26149070262908936,1.0
16,2022-03-08 13:32:03.713547,0.3432469964027405,1.0,0.0,0.26149070262908936,1.0
17,2022-03-08 13:32:04.074922,0.3432469964027405,1.0,0.0,0.26149070262908936,1.0
18,2022-03-08 13:32:04.390011,0.3432469964027405,1.0,0.0,0.26149070262908936,1.0
19,2022-03-08 13:32:04.887069,0.3432469964027405,1.0,0.0,0.26149070262908936,1.0
20,2022-03-08 13:32:05.227235,0.3432469964027405,1.0,0.0,0.26933345198631287,1.0
21,2022-03-08 13:32:05.513855,0.3081965744495392,1.0,0.0,0.26933345198631287,1.0
22,2022-03-08 13:32:06.210423,0.3081965744495392,1.0,0.0,0.26933345198631287,1.0
23,2022-03-08 13:32:06.461930,0.3081965744495392,1.0,0.0,0.26933345198631287,1.0
24,2022-03-08 13:32:06.798312,0.3081965744495392,1.0,0.0,0.26933345198631287,1.0
25,2022-03-08 13:32:07.402135,0.3081965744495392,1.0,0.0,0.26933345198631287,1.0
26,2022-03-08 13:32:07.871442,0.3081965744495392,1.0,0.0,0.27533286809921265,1.0
27,2022-03-08 13:32:08.343995,0.27339375019073486,1.0,0.0,0.27533286809921265,1.0
28,2022-03-08 13:32:08.943191,0.27339375019073486,1.0,0.0,0.27533286809921265,1.0
29,2022-03-08 13:32:09.186170,0.27339375019073486,1.0,0.0,0.27533286809921265,1.0
30,2022-03-08 13:32:09.832470,0.27339375019073486,1.0,0.0,0.27533286809921265,1.0
31,2022-03-08 13:32:10.126985,0.27339375019073486,1.0,0.0,0.27533286809921265,1.0
31,2022-03-08 13:32:10.591593,0.25033000111579895,0.0,1.0,0.28072628378868103,1.0
33,2022-03-08 13:32:11.200620,0.25033000111579895,0.0,1.0,0.28072628378868103,1.0
34,2022-03-08 13:32:11.614063,0.25033000111579895,0.0,1.0,0.28072628378868103,1.0
35,2022-03-08 13:32:11.921448,0.25033000111579895,0.0,1.0,0.28072628378868103,1.0
36,2022-03-08 13:32:12.459504,0.25033000111579895,0.0,1.0,0.28072628378868103,1.0
37,2022-03-08 13:32:12.879333,0.25033000111579895,0.0,1.0,0.27917373180389404,1.0
38,2022-03-08 13:32:13.164165,0.4470091164112091,0.0,1.0,0.27917373180389404,1.0
39,2022-03-08 13:32:13.574642,0.4470091164112091,0.0,1.0,0.27917373180389404,1.0
40,2022-03-08 13:32:13.929549,0.4470091164112091,0.0,1.0,0.27917373180389404,1.0
41,2022-03-08 13:32:14.182315,0.4470091164112091,0.0,1.0,0.27917373180389404,1.0
